,0
1079,Một nhà giao dịch gạo Philippines trốn thuế. Việt Nam hướng đến thị trường châu Phi. Nigeria có thể nâng thuế nhập khẩu gạo. Một dân tộc thiểu số tại Indonesia học hỏi kinh nghiệp canh tác lúa của Hàn Quốc
1080,"Cùng với việc chính phủ Thái Lan áp dụng chính sách nâng giá mua lúa để trợ giá cho nông dân, hiện lũ lụt tàn phá gây thiệt hại tới 3 triệu tấn lúa của nước này đang thu hút sự chú ý của giới kinh doanh gạo về khả năng tác động lên nguồn cung và giá cả."
1081,"Chính phủ Thái Lan đang áp dụng chính sách mới về lúa gạo từ 7.10 bằng cách sẽ nâng giá thu múa lúa lên cho nông dân. Theo đó, lúa thường sẽ vào khoảng 500USD/tấn và lúa đặc sản vào khoảng 670USD/tấn."
1082,"Hội đồng ngũ cốc của Iraq, cơ quan chịu trách nhiệm, cho biết nước này đang tìm đối tác cung cấp 30 ngàn tấn gạo."
1083,"Chính sách nâng giá mua lúa gạo của Thái Lan đã áp dụng từ 7.10. Gạo Việt Nam mở ra cơ hội tăng giá, thu hút bạn hàng và nâng cao giá trị xuất khẩu."
1084,"Theo tờ The Jakarta Post ngày 5/10 đưa tin Cơ quan hậu cần quốc gia Indonesia (Bulog) đồng ý một thỏa thuận mới về việc nhập khẩu thêm 700 nghìn tấn gạo từ Việt Nam, nâng tổng số gạo đã thỏa thuận nhập khẩu từ Việt Nam lên 1,2 triệu tấn."
1085,Malaysia chuyển sang mua gạo từ Pakistan và Việt Nam thay vì Thái Lan. Hàn Quốc cắt giảm sản lượng gạo để duy trì chi phí dự trữ. Ấn Độ có vụ gạo Basmati bội thu.
1086,"VFA muốn có điểm dừng chứ để tăng tới 200-300 DN thì giống như TPHCM, đông xe quá dẫn tới kẹt.."
1087,"La Nina gây lũ lụt hoành hành vành đai lúa gạo châu Á nhưng chưa ảnh hưởng đến giá gạo. Các nhà xuất khẩu Thái Lan phải hoãn giao hàng; trong khi đó, Pakistan thiếu điện và các nhà xuất khẩu Việt Nam khó giao hàng là những tin tức mới trên thị trường gạo"
1088,Các nhà xuất khẩu gạo Việt Nam có thể khó giao đủ 500 ngàn tấn gạo trong những tháng tới do giá gạo nội địa tăng cao hơn giá gạo đã ký hợp đồng xuất khẩu.
1089,Giá gạo thế giới đang giữ ở mức ổn định do những yếu tố giá lên và giá xuống khá cân bằng. Những yếu tố có thể ảnh hưởng đến giá gạo trong những tháng tới bao gồm:
1090,"Giá gạo tại Thái Lan hôm nay đã lên tới 680 USD/tấn, trong khi gạo của Việt Nam là 590 USD/tấn. Dự báo giá gạo sẽ chưa dừng đà tăng ở đây."
1091,"Ngày 12/10, Chính phủ Thái Lan đã ban bố tình trạng khẩn cấp tại 26 trong tổng số 77 tỉnh, thành trên toàn quốc do lũ lụt nghiêm trọng, đồng thời kêu gọi giới chức địa phương nhanh chóng đưa ra các biện pháp nhằm đối phó với thảm họa thiên tai."
1092,"Philippines đang xem xét giảm thuế nhập khẩu gạo xuống khoảng 35%, từ mức 40% hiện nay, đổi lấy việc tăng hạn ngạch nhập khẩu theo cam kết với WTO."
1093,"Sản lượng gạo ở mức thấp sẽ khiến nước này cần gia tăng nhập khẩu, đáp ứng nhu cầu trong nước."
1094,"Theo đánh giá của các chuyên gia, ảnh hưởng của lũ lụt ở ĐBSCL tính đến nay chưa đáng lo ngại đối với sản lượng lúa vụ 3, cũng như khả năng duy trì việc xuất khẩu 7 triệu tấn gạo trong năm nay."
1095,"Vụ việc chỉ được phát hiện khi đến hạn giao gạo, các đơn vị này không có khả năng giao hàng."
1096,"Chính phủ Brazil có kế hoạch bán 710 ngàn tấn lượng thực cho Pakistan, bao gồm: 500 ngàn tấn gạo, 100 ngàn tấn đậu nâu, 100 ngàn tấn ngô và 10 ngàn tấn sữa bột, tổng trị giá 412 triệu USD)."
1097,Lũ lụt nghiêm trọng hiện đang hoành hành tại vành đai lúa gạo châu Á. Mặc dù giá gạo xuất khẩu chưa chịu ảnh hưởng mạnh nhưng giá gạo nội địa bắt đầu tăng cao.
1098,"Myanmar có thể mất khoảng 2 triệu tấn lúa do lũ lụt. Các nhà máy xay xát gạo tại Pakista giảm hoạt động do thiếu điện. Việt Nam xuất khẩu gạo tám thơm gấp đôi so với năm trước. FAO ước tính sản lượng gạo toàn cầu năm 2011 sẽ tăng 1,6 triệu tấn."
1099,"Giá lúa tại các tỉnh đồng bằng sông Cửu Long tăng 200 – 300 đồng/kg, lên mức 7.300 – 7.600 đồng/kg ngay sau khi Thái Lan đưa ra chính sách tăng giá thu mua lúa hôm 7.10. Hiện nay, giá gạo xuất khẩu 5% của Việt Nam dao động từ 570 – 580 USD, tăng 30 – 40 USD so với đầu tháng 9.2011."
1100,Hai vụ trồng lúa tại Philippines bị thiệt hại bởi lũ lụt. Dự trữ gạo của Malaysia đạt gần 300 ngàn tấn. Nepal mua lúa gạo giá rẻ từ Ấn Độ.
1101,"Nguyên nhân được cho là hiện lượng gạo trong dân không còn nhiều, một phần đã bán trước đó, một phần ảnh hưởng do lũ lụt."
1102,Bộ trưởng thương mại Thái Lan cho biết nước này sẽ mở kho dự trữ gạo công và hỗ trợ 100 – 200 ngàn tấn gạo cho những người dân tại những khu vực bị lũ lụt tàn phá.
1103,Dữ liệu công bố mới nhất cho thấy lũ lụt tại Thái Lan gây thiệt hại ít hơn dự đoán cho vụ lúa tại nước này.
1104,"Những trận lũ lụt tồi tệ nhất trong nhiều năm tại Thái Lan, Việt Nam, Campuchia và Lào... có thể đẩy giá lương thực thế giới tăng cao."
1105,"Quỹ dự trữ gạo khẩn cấp vừa được các nước ASEAN+3 cam kết thành lập ngày 7-10 sẽ được sử dụng trong trường hợp xảy ra thiên tai, thiếu gạo tại các nước, bao gồm cả Việt Nam và Thái Lan, các nước xuất khẩu gạo hàng đầu thế giới."
1106,"Chiều 10/10, tại Trụ sở Chính phủ, Thủ tướng Nguyễn Tấn Dũng đã hội kiến với Ngài Somsak Kiatsuranont, Chủ tịch Quốc hội và Chủ tịch Hạ viện Vương quốc Thái Lan đang thăm chính thức Việt Nam."
1107,"Hiệp hội Lương thực Việt Nam (VFA) khuyến cáo, các doanh nghiệp phải rất cẩn trọng khi ký kết hợp đồng xuất khẩu gạo thời gian tới."
1108,"Năm 2011 là năm đầu tiên Bộ Nông nghiệp và Phát triển nông thôn chỉ đạo việc mở rộng tăng thêm diện tích lúa Thu Đông (lúa vụ 3) khoảng 100.000 héc ta (khoảng 500.000 tấn lúa), nâng tổng diện tích vụ này tại vùng ĐBSCL lên hơn 600.370 héc ta."
1109,"Ngay khi chính sách mua lúa với giá 15.000 baht đối với lúa thường và 20.000 baht/tấn đối với lúa thơm của Thái Lan có hiệu lực vào ngày 7/10, giá lúa gạo tại các tỉnh ĐBSCL đã có bước tăng giá ngoạn mục. Giá lúa tăng, nông dân thì tiếc, thương lái thì chạy khắp nơi “săn tìm” nguồn hàng."
1110,"Hai sự kiện mới, nổi bật mới nhất trên thị trường gạo là việc Indonesia đặt hàng khối lượng lớn từ Việt Nam và khả năng Philippines phải nhập khẩu gạo sớm hơn dự kiến."
1111,"Trước đó tờ Jakarta Post dẫn nguồn tin từ Cơ quan hậu cần Bulog cho biết, nước này vừa ký thỏa thuận nhập 700.000 tấn gạo Việt Nam."
1112,Hiện có hai luồng ý kiến trái chiều giữa các nhà chức trách Philippines về thiệt hại do hai cơn bão Nesat và Nalgae gây ra cho vụ lúa tại nước này.
1113,"Chính phủ Hàn Quốc cho biết nước này sẽ ký thỏa thuận, theo đó đóng góp 150 ngàn tấn gạo hàng năm để hỗ trợ khẩn cấp cho các nước Asean theo chương trình dự trữ gạo."
1114,"Tất cả giống lúa chuẩn bị gieo sạ cho vụ đông xuân 2011-2012 đã lấy làm giống vụ 3 nhưng đã bị mất trắng, không biết lấy gì bù đắp cho vụ đông xuân."
1115,Mặc dù giao dịch trên thị trường vẫn trầm lẵng nhưng những động thái mới của các nhà giao dịch thu hút sự chú ý của toàn thị trường.
1116,Đây là một trong những biện pháp nhằm thúc đẩy quan hệ hợp tác thương mại đối với Lào.
1117,Dư luận đang đặt câu hỏi về trách nhiệm của ngành nông nghiệp khi khuyến khích nông dân xuống lúa vụ 3 vào đúng thời điểm có lũ.
1118,"Lo ngại về tình hình lạm phát, Việt Nam đã chính thức bác bỏ tin tức xuất khẩu 700 ngàn tấn gạo sang Indonesia dấy lên hồi đầu tuần."
1119,Thỏa thuận nhập khẩu trên mới đạt được đêm 5/10. Số gạo này dự kiến được giao vào tuần tới.
1120,"Một công ty Trung Quốc do tiến sĩ Viên Long Bình, nhà nông học hàng đầu Trung Quốc điều hành, đã phát triển một giống lúa mới có khả năng cho năng suất 14 tấn/ha. Tuy nhiên, nó đòi một lượng nitơ gấp đôi so với giống thường."
1121,"Hiệp hội Lương thực Việt Nam đã đánh giá khả quan về tình hình xuất khẩu gạo 9 tháng qua: đạt mức kỷ lục mới trong 3 năm liên tiếp. Đó là lũy kế đăng ký hợp đồng, lũy kế xuất khẩu và giá xuất khẩu đạt mức cao nhất từ trước nay."
1122,"Trung tâm Tin học và Thống kê, Bộ Nông nghiệp và Phát triển nông thôn, cơ quan thường xuyên đưa ra các dự báo xuất khẩu nông sản, đã đưa ra dự báo khối lượng gạo xuất khẩu của năm 2011 ước đạt mức 7,5 triệu tấn với kim ngạch hơn 3,7 tỉ đô la."
1123,Một sự kiện đáng chú ý trên thị trường gạo trong quí 4 là việc chính phủ Thái Lan thực hiện cam kết trợ giá mua lúa của nông dân vào ngày 7-10. Cam kết này dù chưa thực hiện nhưng trong nhiều tháng qua cũng đã gây không ít biến động trên thị trường.
1124,Trước đó Bulog đã thỏa thuận nhập khẩu 500.000 tấn gạo từ Việt Nam và dự kiến số gạo này sẽ đến Indonesia vào tháng 12 tới đây.
1125,"Tại cuộc họp báo do Hiệp hội lương thực Việt Nam (VFA) tổ chức ngày 4/10 ở Thành phố Hồ Chí Minh, ông Phạm Văn Bảy, Phó Chủ tịch VFA cho biết, dự báo từ nay tới cuối năm giá xuất khẩu ổn định và tăng lên theo hướng có lợi cho người trồng lúa, đồng thời mục tiêu xuất khẩu 7 triệu tấn gạo năm 2011 sẽ vẫn được giữ vững."
1126,"So với cuối tháng 9, giá lúa khô tại các tỉnh đồng bằng sông Cửu Long lại tăng thêm 400 – 500 đồng lên mức 7.000 – 7.100 đồng/kg; gạo nguyên liệu lên 9.400 đồng. Theo hiệp hội Lương thực Việt Nam (VFA), lượng gạo trong nước đáp ứng đủ mục tiêu xuất khẩu 7 triệu tấn gạo cũng như cho tiêu thụ nội địa."
1127,"Hiện nay thị trường đang có nhiều thuận lợi cho xuất khẩu gạo của Việt Nam, nhưng để vươn lên vị trí số 1 thế giới Việt Nam cần phải có chiến lược."
1128,"Thái Lan vừa phê duyệt việc mở rộng thỏa thuận ban đầu, cung cấp 1 triệu tấn gạo cho Indonesia và Bangladesh."
1129,Thị trường gạo thế giới trầm lắng trước thời điểm Thái Lan bắt đầu chương trình thu mua gạo. Indonesia - Ấn Độ chưa đưa ra quyết định cụ thể về chương trình gạo – dầu cọ.
1130,Ba nước Đông Bắc Á và 10 nước thành viên Hiệp hội các quốc gia Đông Nam Á (ASEAN) dự kiến dự trữ tổng cộng khoảng 800.000 tấn gạo/năm để chuẩn bị cho các tình huống khẩn cấp.
1131,"Thương lái Việt Nam chỉ việc thỏa thuận giá cả với bà con nông dân Campuchia rồi cân lúa. Các khoản chi phí bốc vác, vận chuyển sẽ được các cò lo liệu."
1132,"Số gạo này được doanh nghiệp VN bán với giá khá cao, khoảng 570 USD/tấn, được giao từ nay đến đầu năm 2012."
1133,"Thị trường gạo thế giới tháng 9 sẽ tương đối trầm lắng chờ thời điểm chính phủ Thái Lan bắt đầu chương trình can thiệp đầy nghi ngờ, nếu không có sự tham gia xuất khẩu trở lại của Ấn Độ."
1134,"Hết tháng 9, các tỉnh ĐBSCL cũng đã thu hoạch xong vụ lúa Hè Thu 2011, với sản lượng đạt 9 triệu tấn, năng suất trung bình 5,47 tấn/ha."
1135,"Indonesia, thị trường nhập khẩu gạo lớn nhất của Việt Nam tính từ đầu năm đến nay, tiếp tục thu hút sự quan tâm chú ý của các nhà xuất khẩu gạo Việt Nam, đặc biệt sau thông tin Thái Lan ngưng hợp đồng xuất khẩu 300.000 tấn gạo sang Indonesia, bước đầu thực hiện chính sách hỗ trợ nông dân gây nhiều tranh cãi dự kiến thực hiện trong tuần này."
1136,"Theo dữ liệu công bố mới nhất của cơ quan Kinh tế nông nghiệp Thái Lan, những trận lũ vừa qua tại Thái Lan đã làm thiệt hại khoảng 1 triệu diện tích trồng lúa."
1137,"Thời gian gần đây, tình hình lũ lụt nghiêm trọng gây thiệt hại trên khắp các khu vực trồng lúa lớn tại châu Á."
1138,"Trong nỗ lực thu mua gạo giá cao của chính phủ Thái Lan, một bộ phận nông dân nước này vẫn không hài lòng với chương trình thu mua gạo sắp trở thành hiện thực."
1139,"Thị trường đang dồn sự chú ý đến động thái của Indonesia và Philippines, hai nhà nhập khẩu gạo lớn tại châu Á với hoài nghi về việc khi nào hai nước sẽ nhập khẩu thêm gạo, từ nhà cung cấp nào và với lượng bao nhiêu."
1140,"“Chính sách mua lúa của Thái Lan chắc chắc sẽ giúp cho các doanh nghiệp xuất khẩu Việt Nam sẽ bán được gạo với giá cao hơn, nhưng nông dân có bán lúa được giá cao hay không lại là một vấn đề khác”, tiến sĩ Lê Văn Bảnh, Viện trưởng Viện lúa ĐBSCL nhận định trước khi Thái Lan bắt đầu thực hiện chính sách mua lúa gạo giá cao cho nông dân nước này."
1141,Việt Nam có thể hưởng lợi từ các hợp đồng xuất khẩu gạo sang Indonesia và Philippines trong tương lai. Ấn Độ có vụ mùa bội thu và Malaysia có kế hoạch tự cung cấp gạo đủ cho nhu cầu nội địa.
1142,Bộ trưởng nông nghiệp Indonesia khẳng định nước này không hoàn toàn phụ thuộc vào nguồn gạo nhập khẩu từ Thái Lan hay Việt Nam.
1143,"Pridiyathorn Devakula, cựu Phó Thủ tướng và nguyên là Bộ trưởng Tài chính Thái Lan, vừa nhận định rằng Thái Lan có thể thiệt hại khoảng 135-250 tỷ bạt (1 USD = trên 30 bạt) vì chính sách bảo trợ giá thóc gạo của chính phủ mới."
1144,"Một nguồn tin giấu tên tại Bangkok cho biết Indonesia sẽ tạm thời không mua gạo của Chính phủ Thái Lan hoặc từ các công ty tư nhân của nước này, vì không hài lòng trước quyết định hủy bỏ kế hoạch đã ký trước đó bán 300.000 tấn gạo cho Indonesia do giá thấp."
1145,Dưới đây là một số thông tin quan trọng về xuất nhập khẩu gạo thế giới ngày 29/9/2011.
1146,"Theo Bộ Nông nghiệp, Việt Nam, nước xuất khẩu gạo lớn thứ hai thế giới được dự báo thu hoạch kỷ lục 42 triệu tấn lúa trong năm nay tăng khoảng 5% so với năm 2010 do diện tích trồng nhiều hơn và sản lượng cao hơn."
1147,"Hàng trăm nghìn ha đất lúa thuộc dạng ""bờ xôi ruộng mật"" đã chuyển đổi mục đích để phát triển đô thị, khu công nghiệp. Chính phủ cho hay, đất lúa sẽ còn tiếp tục bị giảm trước áp lực dân số và mục tiêu phát triển kinh tế."
1148,"Các nhà chức trách thuộc Bulog (Indonesia) hiện đang ở Bangkok để hội đàm về vấn đề xuất khẩu gạo của Thái Lan sau khi nước này cho biết sẽ hủy hợp đồng gạo của chính phủ tiền nhiệm Thái, xuất khẩu 300 ngàn tấn gạo với mức giá khoảng 550 USD/tấn."
1149,Việc mua gạo Ấn Độ sẽ được Chính phủ Indonesia thảo luận vào ngày 4/10 tới.
1150,"Ngày 27.9, khảo sát của NTNN, nông dân vùng ĐBSCL bán lúa khô loại thường dao động từ 6.600 - 6.750 đồng/kg, lúa hạt dài khoảng 6.800 - 6.900 đồng/kg."
1151,Giá gạo châu Á tuần này tăng mạnh khi chỉ còn một tuần nữa là tới thời điểm Thái Lan thực hiện chương trình thu mua lúa gạo gây nhiều xôn xao trên thị trường lúa gạo thế giới cũng như sự quan tâm của các nhà xuất khẩu gạo Việt Nam tới chương trình này.
1152,"Dự trữ gạo của Philippine khá cao tính tới tuần thứ 3 của tháng 9, 2,5 triệu tấn, tương đương 75 ngày cung cấp, và đủ đáp ứng nhu cầu nội địa mặc dù xảy ra cơn bão Nesat."
1153,"Liệu Trung Quốc có trở lại thị trường gạo toàn cầu? Thái Lan hủy bỏ hợp đồng gạo với Indonesia, làm gia tăng tranh cãi về chương trình thu mua gạo của nước này. Ấn Độ và Việt Nam tiếp tục giao dịch sôi động. Iraq mua gạo từ Ấn Độ, thay vì từ Nam Mỹ."
1154,"Các doanh nghiệp trong tỉnh xuất khẩu gạo với giá bình quân 470 USD/ tấn, tăng 53USD/ tấn so cùng kỳ năm trước."
1155,Dưới đây là một số thông tin về mậu dịch gạo thế giới trong những ngày cuối tháng 9.
1156,"Trước nhiều thông tin tốt về thị trường xuất khẩu, giá lúa gạo tại các tỉnh đồng bằng sông Cửu Long tăng khá mạnh vào đầu tuần cuối tháng 9 này."
1157,"Thái Lan – nước xuất khẩu gạo lớn nhất thế giới, vừa điều chỉnh giảm mức dự báo về sản lượng gạo vụ chính đi 2,4% sau khi trải qua những trận lũ lớn khiến mùa màng bị thiệt hại nghiêm trọng."
1158,"Thái Lan đã hủy hợp đồng cung cấp 300.000 tấn gạo do chính phủ tiền nhiệm ký với Indonesia. Tuy nhiên, phía Indonesia vẫn chưa nhận được thông báo này."
1159,"Tại huyện Châu Phú tối qua nước lũ phá vỡ đê nhấn chìm 1.700 hécta lúa, huyện Châu Thành thiệt hại 320 hécta và huyện Chợ Mới mất 630 héc ta."
1160,"Hiệp hội Lương thực Việt Nam (VFA) cho biết, từ đầu năm đến nay, Việt Nam đã xuất khẩu 5,536 triệu tấn, trị giá 2,638 tỷ USD, tăng gần 23% so với cùng kỳ năm trước."
1161,"Đồng tiền Ấn Độ và Brazil giảm giá mạnh trong thời gian qua, đã ảnh hưởng đến thị trường gạo toàn cầu. Các nhà xuất khẩu Thái Lan lo lắng khi các đối thủ Việt Nam tích trữ lúa gạo."
1162,Các nhà xuất khẩu gạoViệt Nam không quá lo lắng khi nhu cầu từ Philippines giảm nhờ nhu cầu từ hai thị trường Indonesia và Malaysia.
1163,"Giá sàn xuất khẩu gạo là cơ sở để doanh nghiệp ký kết hợp đồng và đăng ký hợp đồng xuất khẩu gạo, theo Thông tư 89/2011/TT-BTC do Bộ Tài Chính công bố và có hiệu lực từ ngày 1-8 nhưng doanh nghiệp lẫn các địa phương than phiền cách tính và việc thực hiện còn bất cập, chưa sát với thực tế, nhất là trong bối cảnh thị trường gạo luôn biến động như hiện nay."
1164,Tương quan người bán và người mua trên thị trường gạo thế giới hiện vẫn mập mờ trước thời điểm Thái Lan tiến hành kế hoạch thu mua gạo. Các chuyên gia cho rằng giá gạo sẽ ngày càng khó tăng tiếp và đưa ra những dự đoán về diễn biến giá trong tương lai.
1165,"Một nhà xuất khẩu gạo Ấn Độ cho biết vừa ký một hợp đồng bán 300 ngàn tấn gạo non-basmati cho các nước châu Phi, sau khi chính phủ nước này cho phép xuất khẩu 2 triệu tấn gạo non-basmati theo OGL."
1166,"Tháng 8/2011 xuất khẩu gạo của Việt Nam ra nước ngoài tăng 17,06% về lượng và tăng 21,87% về trị giá so với tháng 7, đạt 763,53 nghìn tấn, trị giá 394,77 triệu USD"
1167,"Gạo là một hàng hóa chính trị và các chính phủ đóng một vai trò lớn ở phía cầu và dường như trong năm 2011, nhu cầu này yếu hơn so với năm 2010."
1168,"Chủ tịch ngân hàng trung ương Thái Lan bày tỏ quan điểm giá gạo nên thay đổi theo các yếu tố cơ bản của thị trường, thay vì do chính phủ quyết định, đồng thời cũng đồng tình với quyết định hạ dự báo GDP của Thái Lan mà ADB công bố vừa qua do nhận định kim ngạch xuất khẩu gạo của nước này giảm sút."
1169,Việc xác định giá sàn gạo xuất khẩu được giao cho Hiệp hội Lương thực Việt Nam (VFA) thực hiện với sự giám sát của Bộ Tài chính và Bộ Công Thương.
1170,Việc tăng cung gạo sẽ giúp giảm giá gạo và giải quyết tình trạng thừa cung tại Ấn Độ.
1171,"Hiện nay, nông dân hai tỉnh Bình Định và Phú Yên, hai địa phương có diện tích lúa lớn ở Nam Trung bộ đang đẩy mạnh việc thu hoạch lúa rộ hè thu với niềm vui được mùa và giá cũng đang tăng từng ngày"
1172,"Theo Bangkok Post, từ ngày 7.10 tới, Thái Lan sẽ bắt đầu chương trình trị giá 470 tỷ baht (gần 16 tỷ USD) nhằm nâng giá thu mua gạo cho nông dân lên 15.000 baht/tấn (khoảng 500 USD), gần gấp đôi mức giá trung bình 8.500 baht/tấn hiện tại."
1173,"Theo khảo sát của Oryza, chương trình thu mua gạo của Thái Lan đang chịu tiếng xấu trong cả cộng đồng thế giới và nội địa, ngay cả trước khi chương trình bắt đầu khởi động."
1174,"Ngày 19.9, Trung Quốc công bố đã lai tạo thành công giống lúa lai siêu chủng, lập kỷ lục mới trên thế giới về năng suất thu hoạch."
1175,"Theo số liệu công bố mới nhất bởi UN, tổng dân số toàn cầu đã vượt mốc 7 tỷ người. Điều này nghĩa là nhu cầu thực phẩm toàn cầu sẽ tiếp tục tăng lên mạnh mẽ."
1176,Khách hàng chuyển sang mua gạo Ấn Độ và Việt Nam do có giá rẻ hơn khiến giá gạo Thái tuần này tiếp tục giảm.
1177,"Bulog – cơ quan chức trách Indonesia đảm nhiệm vấn đề nhập khẩu gạo – vừa tuyên bố sẽ mua 100 ngàn tấn gạo, có thể từ Việt Nam hoặc Thái Lan."
1178,"Giá gạo, vượt qua ngô, lúa mì và đậu tương trong năm qua, có thể giảm do Ấn Độ bắt đầu tái khởi động hoạt động xuất khẩu gạo non-basmati sau khi lệnh cấm được dỡ bỏ, đẩy nguồn cung gạo toàn cầu tăng trong khi một số khách hàng như Indonesia lại giảm nhu cầu."
1179,"Suswono, Bộ trưởng Nông nghiệp cho biết hạn hán đã ảnh hưởng tới 95,891 hectare trồng lúa tại các khu vực khác nhau của Indonesia từ tháng giêng đến tháng 8 năm nay với 3.713 hectare không thể sản xuất."
1180,"“Việc các nhà xuất khẩu gạo hạ giá chào xuất khẩu trong lúc này không nằm ngoài mục đích “khống chế” giá lúa gạo nội địa, hạn chế tăng giá như trong tháng 8” - đây là suy đoán của bà Nguyễn Thị Ánh, giám đốc doanh nghiệp kinh doanh gạo Tấn Tài III, chợ đầu mối Bà Đắc, huyện Cái Bè, Tiền Giang, cơ sở chuyên cung cấp gạo cho các nhà xuất khẩu."
1181,"Lô hàng trên sẽ về vào tháng 10, giá mua là 300 USD/tấn, gồm cả phí vận chuyển."
1182,"Giá gạo tương lai trên thị trường Chicago giảm. Các nhà xuất khẩu gạo Thái Lan tăng giá chào, trong khi các nhà cung cấp Ấn Độ giảm giá. Xuất khẩu gạo Việt Nam có thể hưởng lợi nhiều nhất trong những tháng tới."
1183,Hiệp hội Lương thực Việt Nam và Hiệp hội Các nhà xuất khẩu gạo Thái Lan vừa ký bản ghi nhớ về hợp tác trao đổi thông tin trong lĩnh vực sản xuất và xuất khẩu gạo.
1184,"Cơ quan mua sắm nhà nước Bulog của Indonesia dự kiến có 1,5 triệu tấn gạo dự trữ vào cuối năm 2011."
1185,"Nhập khẩu gạo của Bangladesh, quốc gia nhập khẩu gạo lớn nhất Nam Á, có thể sẽ chỉ bằng một nửa so với lượng dự đoán trước đó do sản lượng gạo nội địa tăng và giá gạo nội địa giảm."
1186,Cuộc gặp giữa các nhà chức trách ngành gạo hai nước Việt Nam – Thái Lan không đạt được nhiều kết quả. Giá gạo nội địa Việt Nam giảm.
1187,"Các nước nhập khẩu các sản phẩm lúa mỳ chủ yếu từ Ấn Độ là Hà Lan, khu vực Trung Đông, Indonesia, Sri Lanka, Nepal và Maldives."
1188,"Nếu không có gì thay đổi, từ ngày 7.10 tới đây, Thái Lan chính thức triển khai kế hoạch thu mua lúa với mức trợ giá cao cho nông dân của mình."
1189,Thái Lan và Việt Nam sẽ tổ chức phiên họp mặt trong ngày 16/9 để bàn về chiến lược giá gạo trong tương lai. Liệu một OPEC phiên bản ngành gạo có ra đời?
1190,"Giá gạo châu Á, trong đó có Việt Nam, giảm khá mạnh trong tuần này, sau khi Ấn Độ cho phép xuất khẩu thêm 2 triệu tấn gạo phi - basmati."
1191,"Gần đây, báo chí trong nước dẫn lời các lãnh đạo của Hiệp hội Lương thực Việt Nam (VFA) cho rằng, Việt Nam không ký được hợp đồng xuất khẩu mới là do giá chào xuất khẩu của ta quá cao (giá ảo). Không biết thông tin nói trên chính xác tới đâu nhưng nông dân ĐBSCL đang gặp rất nhiều khó khăn trong tiêu thụ lúa cấp thấp IR 50404- loại lúa chiếm tỷ trọng lớn trong xuất khẩu."
1192,Nội các Thái Lan sẽ xem xét các tiêu chuẩn và giá cả của chương trình trao đổi gạo trong cuộc họp ngày 14/9
1193,"Úc có thể tăng kim ngạch xuất khẩu lúa mỳ lên mức kỷ lục trong năm tới, giành vị thế nhà cung cấp lúa mỳ lớn thứ 2 thế giới từ châu Âu và giúp hạn chế đà tăng giá của loại ngũ cốc này."
1194,"Đó là khẳng định của Hiệp hội Lương thực VN sau khi có thông tin chính thức rằng, từ 7.10 tới, Thái Lan dự kiến sẽ bắt đầu chương trình mua gạo giá cao cho nông dân."
1195,"Bộ Tài chính cho biết, trong tháng 8, Cục Dự trữ Nhà nước khu vực Hải Hưng nhập 8.449 tấn gạo; Cục Dự trữ Nhà nước khu vực Nghệ Tĩnh đã nhập kho hoàn thành 8.000 tấn gạo..."
1196,"Theo phó thủ tướng Thái Lan Kittiratt Na-Ranong, nước này đã sẵn sàng từ bỏ vị thế nhà xuất gạo hàng đầu thế giới do chính phủ thu mua ngũ cốc trực tiếp từ nông dân để thúc đẩy giá và thu nhập nông thôn."
1197,"Giá lúa gạo tại ĐBSCL giảm liên tục từ đầu tháng 9 tới nay, trái với dự báo giá gạo châu Á sẽ tăng lên mức cao nhất 3 năm."
1198,Hai triệu tấn gạo xuất khẩu từ Ấn Độ ảnh hưởng thế nào đến thị trường gạo thế giới? Thị trường sẽ thế nào nếu kim ngạch xuất khẩu tăng lên 3 tấn?
1199,"Trên thị trường gạo thế giới, các nhà xuất khẩu gạo Ấn Độ đang tăng cường hoạt động kinh doanh với lượng xuất khẩu hiện khoảng 600 ngàn tấn gạo hạt vỡ, 25% vỡ và gạo sơ chế."
1200,Giá gạo xuất khẩu của Việt Nam bị “treo” ở mức cao (giá ảo) suốt mấy tuần qua đang khiến cho việc tìm kiếm các hợp đồng xuất khẩu mới của các doanh nghiệp gặp rất nhiều khó khăn.
1201,Các nhà buôn dự đoán giá gạo trắng sẽ tăng lên 780 USD/tấn trong vài tuần tới.
1202,"Thái Lan, nước xuất khẩu gạo lớn nhất thế giới, có vai trò quan trọng trong việc điều chỉnh giá lương thực thế giới. Tuy nhiên, một số nhà kinh tế cho rằng Thái Lan đang thiếu thận trọng trong chính sách hỗ trợ giá gạo và dự đoán rằng giá lương thực sẽ tăng cao hơn trong thời gian tới, ảnh hưởng đến tình hình xuất khẩu nông sản của Thái Lan."
1203,"Indonesia có kế hoạch nhập khẩu 800.000 tấn gạo trong năm nay, gồm 500.000 tấn từ Việt Nam và 300.000 tấn từ Thái Lan."
1204,"Huyện Tĩnh Gia có tới 4.000 ha bị ngập, Triệu Sơn 350ha, Nông Cống 300ha, Như Thanh, Như Xuân trên 100ha."
